Record_ID,Hour,Day_of_Week,Vehicle_Count,Average_Speed_kmph,Traffic_Density_veh_per_km,Road_Occupancy_percent,Traffic_Condition
1,5,0,19.0,53.63,16.95,10.64,Low
2,13,1,282.0,21.52,58.25,64.57,High
3,21,6,114.0,36.43,27.77,39.43,Moderate
4,3,0,125.0,47.47,52.63,26.83,Moderate
5,23,5,22.0,63.71,13.69,14.19,Low
6,12,1,28.0,60.46,17.38,19.25,Low
7,22,5,28.0,48.69,12.66,23.74,Low
8,2,2,256.0,23.3,54.29,67.9,High
9,6,0,84.0,32.1,47.12,30.47,Moderate
10,16,4,86.0,34.23,34.82,28.59,Moderate
11,14,3,39.0,61.98,25.78,19.97,Low
12,11,2,260.0,28.42,,73.46,High
13,1,2,191.0,17.09,64.52,75.84,High
14,20,5,70.0,57.46,16.61,28.67,Low
15,10,5,,48.82,14.92,13.21,Low
16,2,2,76.0,65.15,11.11,26.85,Low
17,1,3,45.0,55.26,29.65,12.24,Low
18,23,5,144.0,47.31,49.51,32.74,Moderate
19,18,4,120.0,46.42,46.55,41.05,Moderate
20,19,0,58.0,50.13,29.36,24.22,Low
21,5,4,89.0,34.85,28.45,43.32,Moderate
22,5,1,25.0,68.3,16.41,21.88,Low
23,7,1,24.0,58.72,20.98,14.03,Low
24,14,5,79.0,48.47,10.05,12.33,Low
25,11,1,104.0,36.98,52.89,49.92,Moderate
26,2,2,227.0,33.32,89.64,58.2,High
27,7,2,15.0,63.53,21.49,26.84,Low
28,18,2,83.0,45.99,49.75,30.59,Moderate
29,17,6,147.0,40.46,35.76,51.32,Moderate
30,14,0,28.0,67.49,22.48,20.8,Low
31,20,2,94.0,37.11,36.74,40.96,Moderate
32,7,1,53.0,47.92,28.8,22.55,Low
33,6,2,78.0,49.17,27.57,19.91,Low
34,0,5,187.0,28.81,78.28,81.14,High
35,21,5,235.0,27.85,69.76,80.19,High
36,23,6,290.0,12.77,83.86,55.1,High
37,12,1,43.0,58.5,19.73,18.18,Low
38,10,2,41.0,61.03,23.88,20.85,Low
39,5,6,138.0,46.54,53.77,35.28,Moderate
40,7,5,116.0,35.76,43.45,52.36,Moderate
41,4,4,74.0,59.82,12.04,28.38,Low
42,8,5,141.0,43.03,48.14,36.23,Moderate
43,22,0,65.0,63.41,28.69,28.51,Low
44,22,0,195.0,15.9,56.62,57.45,High
45,20,6,15.0,66.75,20.38,21.83,Low
46,8,2,142.0,44.88,31.17,48.63,Moderate
47,6,1,77.0,55.36,27.27,28.46,Low
48,11,2,160.0,44.75,38.57,31.74,Moderate
49,20,0,120.0,34.96,42.33,29.97,Moderate
50,17,4,63.0,64.51,15.55,14.4,Low
51,21,5,198.0,14.45,88.44,55.95,High
52,12,5,212.0,34.92,70.09,73.82,High
53,16,4,272.0,29.99,63.98,68.73,High
54,18,6,179.0,30.91,73.5,61.76,High
55,18,6,135.0,40.69,39.43,39.91,Moderate
56,9,1,281.0,14.55,84.47,87.84,High
57,17,6,48.0,55.22,10.51,13.12,Low
58,7,5,22.0,45.68,14.44,14.62,Low
59,23,5,65.0,61.32,14.76,11.99,Low
60,4,5,46.0,66.39,26.6,17.94,Low
61,6,0,28.0,52.33,27.93,10.26,Low
62,17,1,37.0,66.2,12.46,27.53,Low
63,1,2,278.0,30.44,63.67,60.38,High
64,8,1,26.0,65.77,16.9,25.48,Low
65,23,0,67.0,52.36,28.97,25.27,Low
66,16,1,143.0,41.32,54.56,39.13,Moderate
67,8,5,28.0,63.54,23.98,18.05,Low
68,12,1,171.0,30.87,89.38,71.03,High
69,3,0,51.0,45.46,28.29,12.36,Low
70,22,4,183.0,23.85,76.06,83.19,High
71,7,1,255.0,13.5,60.55,60.66,High
72,16,1,26.0,60.83,19.89,21.47,Low
73,10,0,76.0,57.97,10.94,13.33,Low
74,10,2,200.0,12.26,80.84,52.73,High
75,1,6,105.0,44.38,33.91,41.99,Moderate
76,3,6,93.0,48.74,46.98,31.45,Moderate
77,12,2,297.0,14.05,83.66,83.86,High
78,0,0,40.0,56.86,16.89,17.03,Low
79,2,1,75.0,62.21,18.7,14.93,Low
80,4,3,58.0,69.19,10.11,12.06,Low
81,14,3,198.0,13.42,88.01,67.84,High
82,16,6,131.0,49.16,47.75,44.17,Moderate
83,8,4,39.0,67.58,22.93,23.86,Low
84,22,1,40.0,45.99,24.11,28.5,Low
85,15,1,21.0,45.85,23.95,15.95,Low
86,6,2,,68.61,19.48,27.24,Low
87,23,2,87.0,40.45,44.34,44.51,Moderate
88,22,6,129.0,39.62,51.55,40.91,Moderate
89,21,0,257.0,24.31,82.16,71.54,High
90,1,6,82.0,42.52,51.58,43.48,Moderate
91,17,2,56.0,69.76,10.0,13.71,Low
92,20,3,108.0,30.19,26.58,27.66,Moderate
93,6,3,165.0,31.84,89.36,80.73,High
94,23,5,74.0,44.65,25.1,39.02,Moderate
95,20,5,217.0,27.89,73.56,61.09,High
96,11,2,148.0,38.56,36.53,45.39,Moderate
97,23,6,106.0,45.73,27.68,37.53,Moderate
98,6,3,115.0,42.02,52.11,54.68,Moderate
99,20,2,18.0,50.79,28.85,22.99,Low
100,5,4,71.0,50.51,13.73,25.59,Low
101,19,1,19.0,60.74,14.33,20.37,Low
102,16,2,130.0,35.2,40.46,39.74,Moderate
103,8,3,46.0,56.58,22.46,24.96,Low
104,8,2,83.0,47.2,38.72,36.74,Moderate
105,10,2,225.0,10.89,63.16,87.26,High
106,5,4,52.0,51.49,24.47,19.92,Low
107,17,4,129.0,32.19,51.83,54.74,Moderate
108,1,2,211.0,24.81,82.99,63.91,High
109,0,2,47.0,66.97,25.95,23.17,Low
110,20,1,73.0,49.01,16.68,14.77,Low
111,12,1,77.0,62.47,13.78,27.63,Low
112,6,6,45.0,65.65,12.58,16.7,Low
113,6,1,231.0,30.45,83.29,70.3,High
114,1,3,,25.42,89.25,75.27,High
115,6,1,133.0,40.8,48.4,28.21,Moderate
116,21,3,212.0,19.8,57.18,80.15,High
